category_1,category_2,category_3,category_4,notes,category_id
,,,Grounds Maintenance Workers All Other,,373019
Personal Care and Service Occupations,,,,,390000
,Supervisors of Personal Care and Service Workers,,,,391000
,,FirstLine Supervisors of Gaming Workers,,,391010
,,,Gaming Supervisors,,391011
,,,Slot Supervisors,,391012
,,FirstLine Supervisors of Personal Service Workers,,,391020
,,,FirstLine Supervisors of Personal Service Workers,,391021
,Animal Care and Service Workers,,,,392000
,,Animal Trainers,,,392010
,,,Animal Trainers,,392011
,,Nonfarm Animal Caretakers,,,392020
,,,Nonfarm Animal Caretakers,,392021
,Entertainment Attendants and Related Workers,,,,393000
,,Gaming Services Workers,,,393010
,,,Gaming Dealers,,393011
,,,Gaming and Sports Book Writers and Runners,,393012
,,,Gaming Service Workers All Other,,393019
,,Motion Picture Projectionists,,,393020
,,,Motion Picture Projectionists,,393021
,,Ushers Lobby Attendants and Ticket Takers,,,393030
,,,Ushers Lobby Attendants and Ticket Takers,,393031
,,Miscellaneous Entertainment Attendants and Related Workers,,,393090
,,,Amusement and Recreation Attendants,,393091
,,,Costume Attendants,,393092
,,,Locker Room Coatroom and Dressing Room Attendants,,393093
,,,Entertainment Attendants and Related Workers All Other,,393099
,Funeral Service Workers,,,,394000
,,Embalmers,,,394010
,,,Embalmers,,394011
,,Funeral Attendants,,,394020
,,,Funeral Attendants,,394021
,,Morticians Undertakers and Funeral Directors,,,394030
,,,Morticians Undertakers and Funeral Directors,,394031
,Personal Appearance Workers,,,,395000
,,Barbers Hairdressers Hairstylists and Cosmetologists,,,395010
,,,Barbers,,395011
,,,Hairdressers Hairstylists and Cosmetologists,,395012
,,Miscellaneous Personal Appearance Workers,,,395090
,,,Makeup Artists Theatrical and Performance,,395091
,,,Manicurists and Pedicurists,,395092
,,,Shampooers,,395093
,,,Skincare Specialists,,395094
,Baggage Porters Bellhops and Concierges,,,,396000
,,Baggage Porters Bellhops and Concierges,,,396010
,,,Baggage Porters and Bellhops,,396011
,,,Concierges,,396012
,Tour and Travel Guides,,,,397000
,,Tour and Travel Guides,,,397010
,,,Tour Guides and Escorts,,397011
,,,Travel Guides,,397012
,Other Personal Care and Service Workers,,,,399000
,,Childcare Workers,,,399010
,,,Childcare Workers,,399011
,,Personal Care Aides,,,399020
,,,Personal Care Aides,,399021
,,Recreation and Fitness Workers,,,399030
,,,Fitness Trainers and Aerobics Instructors,,399031
,,,Recreation Workers,,399032
,,Residential Advisors,,,399040
,,,Residential Advisors,,399041
,,Miscellaneous Personal Care and Service Workers,,,399090
,,,Personal Care and Service Workers All Other,,399099
Sales and Related Occupations,,,,,410000
,Supervisors of Sales Workers,,,,411000
,,FirstLine Supervisors of Sales Workers,,,411010
,,,FirstLine Supervisors of Retail Sales Workers,,411011
,,,FirstLine Supervisors of NonRetail Sales Workers,,411012
,Retail Sales Workers,,,,412000
,,Cashiers,,,412010
,,,Cashiers,,412011
,,,Gaming Change Persons and Booth Cashiers,,412012
,,Counter and Rental Clerks and Parts Salespersons,,,412020
,,,Counter and Rental Clerks,,412021
,,,Parts Salespersons,,412022
,,Retail Salespersons,,,412030
,,,Retail Salespersons,,412031
,Sales Representatives Services,,,,413000
,,Advertising Sales Agents,,,413010
,,,Advertising Sales Agents,,413011
,,Insurance Sales Agents,,,413020
,,,Insurance Sales Agents,,413021
,,Securities Commodities and Financial Services Sales Agents,,,413030
,,,Securities Commodities and Financial Services Sales Agents,,413031
,,Travel Agents,,,413040
,,,Travel Agents,,413041
,,Miscellaneous Sales Representatives Services,,,413090
,,,Sales Representatives Services All Other,,413099
,Sales Representatives Wholesale and Manufacturing,,,,414000
,,Sales Representatives Wholesale and Manufacturing,,,414010
,,,Sales Representatives Wholesale and Manufacturing Technical and Scientific Products,,414011
,,,Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products,,414012
,Other Sales and Related Workers,,,,419000
,,Models Demonstrators and Product Promoters,,,419010
,,,Demonstrators and Product Promoters,,419011
,,,Models,,419012
,,Real Estate Brokers and Sales Agents,,,419020
,,,Real Estate Brokers,,419021
,,,Real Estate Sales Agents,,419022
,,Sales Engineers,,,419030
,,,Sales Engineers,,419031
,,Telemarketers,,,419040
,,,Telemarketers,,419041
,,Miscellaneous Sales and Related Workers,,,419090
,,,DoortoDoor Sales Workers News and Street Vendors and Related Workers,,419091
,,,Sales and Related Workers All Other,,419099
Office and Administrative Support Occupations,,,,,430000
,Supervisors of Office and Administrative Support Workers,,,,431000
,,FirstLine Supervisors of Office and Administrative Support Workers,,,431010
,,,FirstLine Supervisors of Office and Administrative Support Workers,,431011
,Communications Equipment Operators,,,,432000
,,Switchboard Operators Including Answering Service,,,432010
,,,Switchboard Operators Including Answering Service,,432011
,,Telephone Operators,,,432020
,,,Telephone Operators,,432021
,,Miscellaneous Communications Equipment Operators,,,432090
,,,Communications Equipment Operators All Other,,432099
,Financial Clerks,,,,433000
,,Bill and Account Collectors,,,433010
,,,Bill and Account Collectors,,433011
,,Billing and Posting Clerks,,,433020
,,,Billing and Posting Clerks,,433021
,,Bookkeeping Accounting and Auditing Clerks,,,433030
,,,Bookkeeping Accounting and Auditing Clerks,,433031
,,Gaming Cage Workers,,,433040
,,,Gaming Cage Workers,,433041
,,Payroll and Timekeeping Clerks,,,433050
,,,Payroll and Timekeeping Clerks,,433051
,,Procurement Clerks,,,433060
,,,Procurement Clerks,,433061
,,Tellers,,,433070
,,,Tellers,,433071
,,Miscellaneous Financial Clerks,,,433090
,,,Financial Clerks All Other,,433099 
,Information and Record Clerks,,,,434000
,,Brokerage Clerks,,,434010
,,,Brokerage Clerks,,434011
,,Correspondence Clerks,,,434020
,,,Correspondence Clerks,,434021
,,Court Municipal and License Clerks,,,434030
,,,Court Municipal and License Clerks,,434031
,,Credit Authorizers Checkers and Clerks,,,434040
,,,Credit Authorizers Checkers and Clerks,,434041
,,Customer Service Representatives,,,434050
,,,Customer Service Representatives,,434051
,,Eligibility Interviewers Government Programs,,,434060
,,,Eligibility Interviewers Government Programs,,434061
,,File Clerks,,,434070
,,,File Clerks,,434071
,,Hotel Motel and Resort Desk Clerks,,,434080
,,,Hotel Motel and Resort Desk Clerks,,434081
,,Interviewers Except Eligibility and Loan,,,434110
,,,Interviewers Except Eligibility and Loan,,434111
,,Library Assistants Clerical,,,434120
,,,Library Assistants Clerical,,434121
,,Loan Interviewers and Clerks,,,434130
,,,Loan Interviewers and Clerks,,434131
,,New Accounts Clerks,,,434140
,,,New Accounts Clerks,,434141
,,Order Clerks,,,434150
,,,Order Clerks,,434151
,,Human Resources Assistants Except Payroll and Timekeeping,,,434160
,,,Human Resources Assistants Except Payroll and Timekeeping,,434161
,,Receptionists and Information Clerks,,,434170
,,,Receptionists and Information Clerks,,434171
,,Reservation and Transportation Ticket Agents and Travel Clerks,,,434180
,,,Reservation and Transportation Ticket Agents and Travel Clerks,,434181
,,Miscellaneous Information and Record Clerks,,,434190
,,,Information and Record Clerks All Other,,434199
,Material Recording Scheduling Dispatching and Distributing Workers,,,,435000
,,Cargo and Freight Agents,,,435010
,,,Cargo and Freight Agents,,435011
,,Couriers and Messengers,,,435020
,,,Couriers and Messengers,,435021
,,Dispatchers,,,435030
,,,Police Fire and Ambulance Dispatchers,,435031
,,,Dispatchers Except Police Fire and Ambulance,,435032
,,Meter Readers Utilities,,,435040
,,,Meter Readers Utilities,,435041
,,Postal Service Workers,,,435050
,,,Postal Service Clerks,,435051
,,,Postal Service Mail Carriers,,435052
,,,Postal Service Mail Sorters Processors and Processing Machine Operators,,435053
,,Production Planning and Expediting Clerks,,,435060
,,,Production Planning and Expediting Clerks,,435061
,,Shipping Receiving and Traffic Clerks,,,435070
,,,Shipping Receiving and Traffic Clerks,,435071
,,Stock Clerks and Order Fillers,,,435080
,,,Stock Clerks and Order Fillers,,435081
,,Weighers Measurers Checkers and Samplers Recordkeeping,,,435110
,,,Weighers Measurers Checkers and Samplers Recordkeeping,,435111
,Secretaries and Administrative Assistants,,,,436000
,,Secretaries and Administrative Assistants,,,436010
,,,Executive Secretaries and Executive Administrative Assistants,,436011
,,,Legal Secretaries,,436012
,,,Medical Secretaries,,436013
,,,Secretaries and Administrative Assistants Except Legal Medical and Executive,,436014
,Other Office and Administrative Support Workers,,,,439000
,,Computer Operators,,,439010
,,,Computer Operators,,439011
,,Data Entry and Information Processing Workers,,,439020
,,,Data Entry Keyers,,439021
,,,Word Processors and Typists,,439022
,,Desktop Publishers,,,439030
,,,Desktop Publishers,,439031
,,Insurance Claims and Policy Processing Clerks,,,439040
,,,Insurance Claims and Policy Processing Clerks,,439041
,,Mail Clerks and Mail Machine Operators Except Postal Service,,,439050
,,,Mail Clerks and Mail Machine Operators Except Postal Service,,439051
,,Office Clerks General,,,439060
,,,Office Clerks General,,439061
,,Office Machine Operators Except Computer,,,439070
,,,Office Machine Operators Except Computer,,439071
,,Proofreaders and Copy Markers,,,439080
,,,Proofreaders and Copy Markers,,439081
,,Statistical Assistants,,,439110
,,,Statistical Assistants,,439111
,,Miscellaneous Office and Administrative Support Workers,,,439190
,,,Office and Administrative Support Workers All Other,,439199
Farming Fishing and Forestry Occupations,,,,,450000
,Supervisors of Farming Fishing and Forestry Workers,,,,451000
,,FirstLine Supervisors of Farming Fishing and Forestry Workers,,,451010
,,,FirstLine Supervisors of Farming Fishing and Forestry Workers,,451011
,Agricultural Workers,,,,452000
,,Agricultural Inspectors,,,452010
,,,Agricultural Inspectors,,452011
,,Animal Breeders,,,452020
,,,Animal Breeders,,452021
,,Graders and Sorters Agricultural Products,,,452040
,,,Graders and Sorters Agricultural Products,,452041
,,Miscellaneous Agricultural Workers,,,452090
,,,Agricultural Equipment Operators,,452091
,,,Farmworkers and Laborers Crop Nursery and Greenhouse,,452092
,,,Farmworkers Farm Ranch and Aquacultural Animals,,452093
,,,Agricultural Workers All Other,,452099
,Fishing and Hunting Workers,,,,453000
,,Fishers and Related Fishing Workers,,,453010
,,,Fishers and Related Fishing Workers,,453011
,,Hunters and Trappers,,,453020
,,,Hunters and Trappers,,453021
,Forest Conservation and Logging Workers,,,,454000
,,Forest and Conservation Workers,,,454010
,,,Forest and Conservation Workers,,454011
,,Logging Workers,,,454020
,,,Fallers,,454021
,,,Logging Equipment Operators,,454022
,,,Log Graders and Scalers,,454023
,,,Logging Workers All Other,,454029
Construction and Extraction Occupations,,,,,470000
,Supervisors of Construction and Extraction Workers,,,,471000
,,FirstLine Supervisors of Construction Trades and Extraction Workers,,,471010
,,,FirstLine Supervisors of Construction Trades and Extraction Workers,,471011
,Construction Trades Workers,,,,472000
,,Boilermakers,,,472010
,,,Boilermakers,,472011
,,Brickmasons Blockmasons and Stonemasons,,,472020
,,,Brickmasons and Blockmasons,,472021
,,,Stonemasons,,472022
,,Carpenters,,,472030
,,,Carpenters,,472031
,,Carpet Floor and Tile Installers and Finishers,,,472040
,,,Carpet Installers,,472041
,,,Floor Layers Except Carpet Wood and Hard Tiles,,472042
,,,Floor Sanders and Finishers,,472043
,,,Tile and Marble Setters,,472044
,,Cement Masons Concrete Finishers and Terrazzo Workers,,,472050
,,,Cement Masons and Concrete Finishers,,472051
,,,Terrazzo Workers and Finishers,,472053
,,Construction Laborers,,,472060
,,,Construction Laborers,,472061
,,Construction Equipment Operators,,,472070
,,,Paving Surfacing and Tamping Equipment Operators,,472071
,,,PileDriver Operators,,472072
,,,Operating Engineers and Other Construction Equipment Operators,,472073
,,Drywall Installers Ceiling Tile Installers and Tapers,,,472080
,,,Drywall and Ceiling Tile Installers,,472081
,,,Tapers,,472082
,,Electricians,,,472110
,,,Electricians,,472111
,,Glaziers,,,472120
,,,Glaziers,,472121
,,Insulation Workers,,,472130
,,,Insulation Workers Floor Ceiling and Wall,,472131
,,,Insulation Workers Mechanical,,472132
,,Painters and Paperhangers,,,472140
,,,Painters Construction and Maintenance,,472141
,,,Paperhangers,,472142
,,Pipelayers Plumbers Pipefitters and Steamfitters,,,472150
,,,Pipelayers,,472151
,,,Plumbers Pipefitters and Steamfitters,,472152
,,Plasterers and Stucco Masons,,,472160
,,,Plasterers and Stucco Masons,,472161
,,Reinforcing Iron and Rebar Workers,,,472170
,,,Reinforcing Iron and Rebar Workers,,472171
,,Roofers,,,472180
,,,Roofers,,472181
,,Sheet Metal Workers,,,472210
,,,Sheet Metal Workers,,472211
,,Structural Iron and Steel Workers,,,472220
,,,Structural Iron and Steel Workers,,472221
,,Solar Photovoltaic Installers,,,472230
,,,Solar Photovoltaic Installers,,472231
,Helpers Construction Trades,,,,473000
,,Helpers Construction Trades,,,473010
,,,HelpersBrickmasons Blockmasons Stonemasons and Tile and Marble Setters,,473011
,,,HelpersCarpenters,,473012
,,,HelpersElectricians,,473013
,,,HelpersPainters Paperhangers Plasterers and Stucco Masons,,473014
,,,HelpersPipelayers Plumbers Pipefitters and Steamfitters,,473015
,,,HelpersRoofers,,473016
,,,Helpers Construction Trades All Other,,473019
,Other Construction and Related Workers,,,,474000
,,Construction and Building Inspectors,,,474010
,,,Construction and Building Inspectors,,474011
,,Elevator Installers and Repairers,,,474020
,,,Elevator Installers and Repairers,,474021
,,Fence Erectors,,,474030
,,,Fence Erectors,,474031
,,Hazardous Materials Removal Workers,,,474040
,,,Hazardous Materials Removal Workers,,474041
,,Highway Maintenance Workers,,,474050
,,,Highway Maintenance Workers,,474051
,,RailTrack Laying and Maintenance Equipment Operators,,,474060
,,,RailTrack Laying and Maintenance Equipment Operators,,474061
,,Septic Tank Servicers and Sewer Pipe Cleaners,,,474070
,,,Septic Tank Servicers and Sewer Pipe Cleaners,,474071
,,Miscellaneous Construction and Related Workers,,,474090
,,,Segmental Pavers,,474091
,,,Construction and Related Workers All Other,,474099
,Extraction Workers,,,,475000
,,Derrick Rotary Drill and Service Unit Operators Oil Gas and Mining,,,475010
,,,Derrick Operators Oil and Gas,,475011
,,,Rotary Drill Operators Oil and Gas,,475012
,,,Service Unit Operators Oil Gas and Mining,,475013
,,Earth Drillers Except Oil and Gas,,,475020
,,,Earth Drillers Except Oil and Gas,,475021
,,Explosives Workers Ordnance Handling Experts and Blasters,,,475030
,,,Explosives Workers Ordnance Handling Experts and Blasters,,475031
,,Mining Machine Operators,,,475040
,,,Continuous Mining Machine Operators,,475041
,,,Mine Cutting and Channeling Machine Operators,,475042
,,,Mining Machine Operators All Other,,475049
,,Rock Splitters Quarry,,,475050
,,,Rock Splitters Quarry,,475051
,,Roof Bolters Mining,,,475060
,,,Roof Bolters Mining,,475061
,,Roustabouts Oil and Gas,,,475070
,,,Roustabouts Oil and Gas,,475071
,,HelpersExtraction Workers,,,475080
,,,HelpersExtraction Workers,,475081
,,Miscellaneous Extraction Workers,,,475090
,,,Extraction Workers All Other,,475099
Installation Maintenance and Repair Occupations,,,,,490000
,Supervisors of Installation Maintenance and Repair Workers,,,,491000
,,FirstLine Supervisors of Mechanics Installers and Repairers,,,491010
,,,FirstLine Supervisors of Mechanics Installers and Repairers,,491011
,Electrical and Electronic Equipment Mechanics Installers and Repairers,,,,492000
,,Computer Automated Teller and Office Machine Repairers,,,492010
,,,Computer Automated Teller and Office Machine Repairers,,492011
,,Radio and Telecommunications Equipment Installers and Repairers,,,492020
,,,Radio Cellular and Tower Equipment Installers and Repairs,,492021
,,,Telecommunications Equipment Installers and Repairers Except Line Installers,,492022
,,Miscellaneous Electrical and Electronic Equipment Mechanics Installers and Repairers,,,492090
,,,Avionics Technicians,,492091
,,,Electric Motor Power Tool and Related Repairers,,492092
,,,Electrical and Electronics Installers and Repairers Transportation Equipment,,492093
,,,Electrical and Electronics Repairers Commercial and Industrial Equipment,,492094
,,,Electrical and Electronics Repairers Powerhouse Substation and Relay,,492095
,,,Electronic Equipment Installers and Repairers Motor Vehicles,,492096
,,,Electronic Home Entertainment Equipment Installers and Repairers,,492097
,,,Security and Fire Alarm Systems Installers,,492098
,Vehicle and Mobile Equipment Mechanics Installers and Repairers,,,,493000
,,Aircraft Mechanics and Service Technicians,,,493010
,,,Aircraft Mechanics and Service Technicians,,493011
,,Automotive Technicians and Repairers,,,493020
,,,Automotive Body and Related Repairers,,493021
,,,Automotive Glass Installers and Repairers,,493022
,,,Automotive Service Technicians and Mechanics,,493023
,,Bus and Truck Mechanics and Diesel Engine Specialists,,,493030
,,,Bus and Truck Mechanics and Diesel Engine Specialists,,493031
,,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,,,493040
,,,Farm Equipment Mechanics and Service Technicians,,493041
,,,Mobile Heavy Equipment Mechanics Except Engines,,493042
,,,Rail Car Repairers,,493043
,,Small Engine Mechanics,,,493050
,,,Motorboat Mechanics and Service Technicians,,493051
,,,Motorcycle Mechanics,,493052
,,,Outdoor Power Equipment and Other Small Engine Mechanics,,493053
,,Miscellaneous Vehicle and Mobile Equipment Mechanics Installers and Repairers,,,493090
,,,Bicycle Repairers,,493091
,,,Recreational Vehicle Service Technicians,,493092
,,,Tire Repairers and Changers,,493093
,Other Installation Maintenance and Repair Occupations,,,,499000
,,Control and Valve Installers and Repairers,,,499010
,,,Mechanical Door Repairers,,499011
,,,Control and Valve Installers and Repairers Except Mechanical Door,,499012
,,Heating Air Conditioning and Refrigeration Mechanics and Installers,,,499020
,,,Heating Air Conditioning and Refrigeration Mechanics and Installers,,499021
,,Home Appliance Repairers,,,499030
,,,Home Appliance Repairers,,499031
,,Industrial Machinery Installation Repair and Maintenance Workers,,,499040
,,,Industrial Machinery Mechanics,,499041
,,,Maintenance Workers Machinery,,499043
,,,Millwrights,,499044
,,,Refractory Materials Repairers Except Brickmasons,,499045
,,Line Installers and Repairers,,,499050
,,,Electrical PowerLine Installers and Repairers,,499051
,,,Telecommunications Line Installers and Repairers,,499052
,,Precision Instrument and Equipment Repairers,,,499060
,,,Camera and Photographic Equipment Repairers,,499061
,,,Medical Equipment Repairers,,499062
,,,Musical Instrument Repairers and Tuners,,499063
,,,Watch Repairers,,499064
,,,Precision Instrument and Equipment Repairers All Other,,499069
,,Maintenance and Repair Workers General,,,499070
,,,Maintenance and Repair Workers General,,499071
,,Wind Turbine Service Technicians,,,499080
,,,Wind Turbine Service Technicians,,499081
,,Miscellaneous Installation Maintenance and Repair Workers,,,499090
,,,Coin Vending and Amusement Machine Servicers and Repairers,,499091
,,,Commercial Divers,,499092
,,,Fabric Menders Except Garment,,499093
,,,Locksmiths and Safe Repairers,,499094
,,,Manufactured Building and Mobile Home Installers,,499095
,,,Riggers,,499096
,,,Signal and Track Switch Repairers,,499097
,,,HelpersInstallation Maintenance and Repair Workers,,499098
,,,Installation Maintenance and Repair Workers All Other,,499099
Production Occupations,,,,,510000
,Supervisors of Production Workers,,,,511000
,,FirstLine Supervisors of Production and Operating Workers,,,511010
,,,FirstLine Supervisors of Production and Operating Workers,,511011
,Assemblers and Fabricators,,,,512000
,,Aircraft Structure Surfaces Rigging and Systems Assemblers,,,512010
,,,Aircraft Structure Surfaces Rigging and Systems Assemblers,,512011
,,Electrical Electronics and Electromechanical Assemblers,,,512020
,,,Coil Winders Tapers and Finishers,,512021
,,,Electrical and Electronic Equipment Assemblers,,512022
,,,Electromechanical Equipment Assemblers,,512023
,,Engine and Other Machine Assemblers,,,512030
,,,Engine and Other Machine Assemblers,,512031
,,Structural Metal Fabricators and Fitters,,,512040
,,,Structural Metal Fabricators and Fitters,,512041
,,Miscellaneous Assemblers and Fabricators,,,512090
,,,Fiberglass Laminators and Fabricators,,512091
,,,Team Assemblers,,512092
,,,Timing Device Assemblers and Adjusters,,512093
,,,Assemblers and Fabricators All Other,,512099
,Food Processing Workers,,,,513000
,,Bakers,,,513010
,,,Bakers,,513011
,,Butchers and Other Meat Poultry and Fish Processing Workers,,,513020
,,,Butchers and Meat Cutters,,513021
,,,Meat Poultry and Fish Cutters and Trimmers,,513022
,,,Slaughterers and Meat Packers,,513023
,,Miscellaneous Food Processing Workers,,,513090
,,,Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders,,513091
,,,Food Batchmakers,,513092
,,,Food Cooking Machine Operators and Tenders,,513093
,,,Food Processing Workers All Other,,513099
,Metal Workers and Plastic Workers,,,,514000
,,Computer Control Programmers and Operators,,,514010
,,,ComputerControlled Machine Tool Operators Metal and Plastic,,514011
,,,Computer Numerically Controlled Machine Tool Programmers Metal and Plastic,,514012
,,Forming Machine Setters Operators and Tenders Metal and Plastic,,,514020
,,,Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic,,514021
,,,Forging Machine Setters Operators and Tenders Metal and Plastic,,514022
,,,Rolling Machine Setters Operators and Tenders Metal and Plastic,,514023
,,Machine Tool Cutting Setters Operators and Tenders Metal and Plastic,,,514030
,,,Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic,,514031
,,,Drilling and Boring Machine Tool Setters Operators and Tenders Metal and Plastic,,514032
,,,Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic,,514033
,,,Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic,,514034
,,,Milling and Planing Machine Setters Operators and Tenders Metal and Plastic,,514035
,,Machinists,,,514040
,,,Machinists,,514041
,,Metal Furnace Operators Tenders Pourers and Casters,,,514050
,,,MetalRefining Furnace Operators and Tenders,,514051
,,,Pourers and Casters Metal,,514052
,,Model Makers and Patternmakers Metal and Plastic,,,514060
,,,Model Makers Metal and Plastic,,514061
,,,Patternmakers Metal and Plastic,,514062
,,Molders and Molding Machine Setters Operators and Tenders Metal and Plastic,,,514070
,,,Foundry Mold and Coremakers,,514071
,,,Molding Coremaking and Casting Machine Setters Operators and Tenders Metal and Plastic,,514072
,,Multiple Machine Tool Setters Operators and Tenders Metal and Plastic,,,514080
,,,Multiple Machine Tool Setters Operators and Tenders Metal and Plastic,,514081
,,Tool and Die Makers,,,514110
,,,Tool and Die Makers,,514111
,,Welding Soldering and Brazing Workers,,,514120
,,,Welders Cutters Solderers and Brazers,,514121
,,,Welding Soldering and Brazing Machine Setters Operators and Tenders,,514122
,,Miscellaneous Metal Workers and Plastic Workers,,,514190
,,,Heat Treating Equipment Setters Operators and Tenders Metal and Plastic,,514191
,,,Layout Workers Metal and Plastic,,514192
,,,Plating and Coating Machine Setters Operators and Tenders Metal and Plastic,,514193
,,,Tool Grinders Filers and Sharpeners,,514194
,,,Metal Workers and Plastic Workers All Other,,514199
,Printing Workers,,,,515100
,,Printing Workers,,,515110
,,,Prepress Technicians and Workers,,515111
,,,Printing Press Operators,,515112
,,,Print Binding and Finishing Workers,,515113
,Textile Apparel and Furnishings Workers,,,,516000
,,Laundry and DryCleaning Workers,,,516010
,,,Laundry and DryCleaning Workers,,516011
,,Pressers Textile Garment and Related Materials,,,516020
,,,Pressers Textile Garment and Related Materials,,516021
,,Sewing Machine Operators,,,516030
,,,Sewing Machine Operators,,516031
,,Shoe and Leather Workers,,,516040
,,,Shoe and Leather Workers and Repairers,,516041
,,,Shoe Machine Operators and Tenders,,516042
,,Tailors Dressmakers and Sewers,,,516050
,,,Sewers Hand,,516051
,,,Tailors Dressmakers and Custom Sewers,,516052
,,Textile Machine Setters Operators and Tenders,,,516060
,,,Textile Bleaching and Dyeing Machine Operators and Tenders,,516061
,,,Textile Cutting Machine Setters Operators and Tenders,,516062
,,,Textile Knitting and Weaving Machine Setters Operators and Tenders,,516063
,,,Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders,,516064
,,Miscellaneous Textile Apparel and Furnishings Workers,,,516090
,,,Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers,,516091
,,,Fabric and Apparel Patternmakers,,516092
,,,Upholsterers,,516093
,,,Textile Apparel and Furnishings Workers All Other,,516099
,Woodworkers,,,,517000
,,Cabinetmakers and Bench Carpenters,,,517010
,,,Cabinetmakers and Bench Carpenters,,517011
,,Furniture Finishers,,,517020
,,,Furniture Finishers,,517021
,,Model Makers and Patternmakers Wood,,,517030
,,,Model Makers Wood,,517031
,,,Patternmakers Wood,,517032
,,Woodworking Machine Setters Operators and Tenders,,,517040
,,,Sawing Machine Setters Operators and Tenders Wood,,517041
,,,Woodworking Machine Setters Operators and Tenders Except Sawing,,517042
,,Miscellaneous Woodworkers,,,517090
,,,Woodworkers All Other,,517099
,Plant and System Operators,,,,518000
,,Power Plant Operators Distributors and Dispatchers,,,518010
,,,Nuclear Power Reactor Operators,,518011
,,,Power Distributors and Dispatchers,,518012
,,,Power Plant Operators,,518013
,,Stationary Engineers and Boiler Operators,,,518020
,,,Stationary Engineers and Boiler Operators,,518021
,,Water and Wastewater Treatment Plant and System Operators,,,518030
,,,Water and Wastewater Treatment Plant and System Operators,,518031
,,Miscellaneous Plant and System Operators,,,518090
,,,Chemical Plant and System Operators,,518091
,,,Gas Plant Operators,,518092
,,,Petroleum Pump System Operators Refinery Operators and Gaugers,,518093
,,,Plant and System Operators All Other,,518099
,Other Production Occupations,,,,519000
,,Chemical Processing Machine Setters Operators and Tenders,,,519010
,,,Chemical Equipment Operators and Tenders,,519011
,,,Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders,,519012
,,Crushing Grinding Polishing Mixing and Blending Workers,,,519020
,,,Crushing Grinding and Polishing Machine Setters Operators and Tenders,,519021
,,,Grinding and Polishing Workers Hand,,519022
,,,Mixing and Blending Machine Setters Operators and Tenders,,519023
,,Cutting Workers,,,519030
,,,Cutters and Trimmers Hand,,519031
,,,Cutting and Slicing Machine Setters Operators and Tenders,,519032
,,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders,,,519040
,,,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders,,519041
,,Furnace Kiln Oven Drier and Kettle Operators and Tenders,,,519050
,,,Furnace Kiln Oven Drier and Kettle Operators and Tenders,,519051
,,Inspectors Testers Sorters Samplers and Weighers,,,519060
,,,Inspectors Testers Sorters Samplers and Weighers,,519061
,,Jewelers and Precious Stone and Metal Workers,,,519070
,,,Jewelers and Precious Stone and Metal Workers,,519071
,,Medical Dental and Ophthalmic Laboratory Technicians,,,519080
,,,Dental Laboratory Technicians,,519081
,,,Medical Appliance Technicians,,519082
,,,Ophthalmic Laboratory Technicians,,519083
,,Packaging and Filling Machine Operators and Tenders,,,519110
,,,Packaging and Filling Machine Operators and Tenders,,519111
,,Painting Workers,,,519120
,,,Coating Painting and Spraying Machine Setters Operators and Tenders,,519121
,,,Painters Transportation Equipment,,519122
,,,Painting Coating and Decorating Workers,,519123
,,Semiconductor Processors,,,519140
,,,Semiconductor Processors,,519141
,,Photographic Process Workers and Processing Machine Operators,,,519150
,,,Photographic Process Workers and Processing Machine Operators,,519151
,,Miscellaneous Production Workers,,,519190
,,,Adhesive Bonding Machine Operators and Tenders,,519191
,,,Cleaning Washing and Metal Pickling Equipment Operators and Tenders,,519192
,,,Cooling and Freezing Equipment Operators and Tenders,,519193
,,,Etchers and Engravers,,519194
,,,Molders Shapers and Casters Except Metal and Plastic,,519195
,,,Paper Goods Machine Setters Operators and Tenders,,519196
,,,Tire Builders,,519197
,,,HelpersProduction Workers,,519198
,,,Production Workers All Other,,519199
Transportation and Material Moving Occupations,,,,,530000
,Supervisors of Transportation and Material Moving Workers,,,,531000
,,Aircraft Cargo Handling Supervisors,,,531010
,,,Aircraft Cargo Handling Supervisors,,531011
,,FirstLine Supervisors of Helpers Laborers and Material Movers Hand,,,531020
,,,FirstLine Supervisors of Helpers Laborers and Material Movers Hand,,531021
,,FirstLine Supervisors of Transportation and MaterialMoving Machine and Vehicle Operators,,,531030
,,,FirstLine Supervisors of Transportation and MaterialMoving Machine and Vehicle Operators,,531031
,Air Transportation Workers,,,,532000
,,Aircraft Pilots and Flight Engineers,,,532010
,,,Airline Pilots Copilots and Flight Engineers,,532011
,,,Commercial Pilots,,532012
,,Air Traffic Controllers and Airfield Operations Specialists,,,532020
,,,Air Traffic Controllers,,532021
